Row ID,Supplier ID,Supplier Name,NART,Use case,Module (ID),Category,Section,Field (label),Field Type,Required @ go-live,Editable by supplier,Value submitted,Submission date,Status
R00002,1000662,Kraton Chemical LLC,14129-90001-00,MDF,1,General information,Introduction,"Is this product a: Monomer, Polymer or no longer polymer or ""other""?",Dropdown,Yes,yes,Monomer,2025-04-05,Outdated
R00003,1000662,Kraton Chemical LLC,14129-90001-00,MDF,1,General information,Introduction,Declaration of comformidity,Freetext,Yes,yes,"Yes, compliant.",2026-07-21,Flagged (needs supplier confirmation)
R00006,1000662,Kraton Chemical LLC,14129-90001-00,MDF,2,REACH Registration Status,REACH Registration Status,Are all substances manufactures/sourced from within the EU?,Dropdown,Yes,yes,TBD,2025-11-28,Flagged (needs supplier confirmation)
R00007,1000662,Kraton Chemical LLC,14129-90001-00,MDF,2,REACH,REACH Registration Status,Declaration of comformidity,Freetext,Yes,yes,"Yes, compliant.",2025-12-06,Flagged (needs supplier confirmation)
R00008,1000662,Kraton Chemical LLC,14129-90001-00,MDF,2,REACH,REACH Registration Status,Evaluation Procedures,Dropdown,Yes,yes,Unknown / not specified,2026-04-22,Flagged (needs supplier confirmation)
R00011,1000662,Kraton Chemical LLC,14129-90001-00,MDF,3,REACH,REACh regulation No 1907/2006/EC,Evaluation Procedures,Dropdown,Yes,yes,Material declaration,2025-06-17,Outdated
R00014,1000662,Kraton Chemical LLC,14129-90001-00,MDF,3,REACH,REACh regulation No 1907/2006/EC,Evaluation Procedures,Dropdown,Yes,yes,"yes, see attachment",2025-12-11,Flagged (needs supplier confirmation)
R00016,1000662,Kraton Chemical LLC,14129-90001-00,MDF,3,REACH,REACh regulation No 1907/2006/EC,Declaration of comformidity,Freetext,Yes,yes,"Confirmed per supplier declaration for declaration of comformidity, evidence on file.",2024-06-10,Outdated
R00021,1000662,Kraton Chemical LLC,14129-90001-00,MDF,5,Legislations,POP regulation No 2019/1021/EC,Applies to all purchased products and packaging.,Dropdown,Yes,yes,"Yes, compliant.",2026-03-09,Flagged (needs supplier confirmation)
R00022,1000662,Kraton Chemical LLC,14129-90001-00,MDF,5,Legislations,POP regulation No 2019/1021/EC,Declaration of comformidity,Freetext,Yes,yes,"Confirmed per supplier declaration for declaration of comformidity, evidence on file.",2025-04-23,Outdated
R00023,1000662,Kraton Chemical LLC,14129-90001-00,MDF,5,Legislations,POP regulation No 2019/1021/EC,Evaluation Procedures,Dropdown,Yes,yes,"Yes, compliant.",2026-08-06,Flagged (needs supplier confirmation)
