Use cases,Module (ID),Category,Section,Field (label),Purpose / definition,Required @ go-live,Editable by supplier,Data source,Field Type,Information level (NART vs. Supplier),Dropdown / default source,System of record (after submit),Validation / rules,Used by (workflows),Notes (incl. supplier burden rationale)
MDF,0,General Information,List of impacted NARTs,List of impacted NARTs,Show the supplier the required docuement for the impacted NARTs,Yes,no,Information field (Part of the input from buyer by creating the inquiry workflow in supplier portal.,Information field,Supplier,information only,Keep information as requried in Report & Create PDF based in MDF formular from supplier.,,,Mandatory
MDF,1,General information,Introduction,"Is this product a: Monomer, Polymer or no longer polymer or ""other""?",Legislative statement from supplier,Yes,yes,manual entry by supplier,Dropdown,NART or NART Group,Monomer / Polymer / No-Longer Polymer (NMP) / other,Keep information as requried in Report & Create PDF based in MDF formular from supplier.,,,Mandatory
MDF,1,General information,Introduction,Declaration of comformidity,Comments from supplier,Yes,yes,manual entry by supplier,Freetext,NART or NART Group,Free text field from supplier,Keep information as requried in Report & Create PDF based in MDF formular from supplier.,,,Mandatory
MDF,1,General information,Introduction,Evaluation Procedures,Supplier must inform the way this topic has been confirmed,Yes,yes,manual entry by supplier,Dropdown,NART or NART Group,Presumption (without evidence) / Supplier declaration / Material declaration /  Laboratory analysis / Supplier declaration and material declaration / Supplier declaration and laboratory analysis / Material declaration and laboratory ananlysis,Keep information as requried in Report & Create PDF based in MDF formular from supplier.,,,Mandatory
MDF,2,REACH Registration Status,REACH Registration Status,"Have all substances included in this product been registered? Yes, no, exempt?",,Yes,yes,manual entry by supplier,Dropdown,NART or NART Group,Listed / Not Listed / Exempt,Keep information as requried in Report & Create PDF based in MDF formular from supplier.,,,Mandatory
MDF,2,REACH Registration Status,REACH Registration Status,Are all substances manufactures/sourced from within the EU?,Legislative statement from supplier,Yes,yes,manual entry by supplier,Dropdown,NART or NART Group,All substances manufactured/sourced from within the EU / Not all or no substances manufactured/sourced from within the EU,Keep information as requried in Report & Create PDF based in MDF formular from supplier.,,,Mandatory
MDF,2,REACH,REACH Registration Status,Declaration of comformidity,Comments from supplier,Yes,yes,manual entry by supplier,Freetext,NART or NART Group,Free text field from supplier,Keep information as requried in Report & Create PDF based in MDF formular from supplier.,,,
MDF,2,REACH,REACH Registration Status,Evaluation Procedures,Supplier must informed the way this topic has been confirmed,Yes,yes,manual entry by supplier,Dropdown,NART or NART Group,Presumption (without evidence) / Supplier declaration / Material declaration /  Laboratory analysis / Supplier declaration and material declaration / Supplier declaration and laboratory analysis / Material declaration and laboratory ananlysis,Keep information as requried in Report & Create PDF based in MDF formular from supplier.,,,
MDF,3,REACH,REACh regulation No 1907/2006/EC,"SVHC candidate list (current revision)
Applies to all purchased products and packaging.",Legislative statement from supplier,Yes,yes,manual entry by supplier,Dropdown,NART or NART Group,Complaint / Not Compliant,Keep information as requried in Report & Create PDF based in MDF formular from supplier.,,,Mandatory
MDF,3,REACH,REACh regulation No 1907/2006/EC,Declaration of comformidity,Comments from supplier,Yes,yes,manual entry by supplier,Freetext,NART or NART Group,Free text field from supplier,Keep information as requried in Report & Create PDF based in MDF formular from supplier.,,,
MDF,3,REACH,REACh regulation No 1907/2006/EC,Evaluation Procedures,Supplier must informed the way this topic has been confirmed,Yes,yes,manual entry by supplier,Dropdown,NART or NART Group,Presumption (without evidence) / Supplier declaration / Material declaration /  Laboratory analysis / Supplier declaration and material declaration / Supplier declaration and laboratory analysis / Material declaration and laboratory ananlysis,Keep information as requried in Report & Create PDF based in MDF formular from supplier.,,,
MDF,3,REACH,REACh regulation No 1907/2006/EC,"Annex XIV plus amendments (current revision)
Applies to all purchased products and packaging.",Legislative statement from supplier,Yes,yes,manual entry by supplier,Dropdown,NART or NART Group,Listed / Not Listed / Exempt,Keep information as requried in Report & Create PDF based in MDF formular from supplier.,,,Mandatory
MDF,3,REACH,REACh regulation No 1907/2006/EC,Declaration of comformidity,Comments from supplier,Yes,yes,manual entry by supplier,Freetext,NART or NART Group,Free text field from supplier,Keep information as requried in Report & Create PDF based in MDF formular from supplier.,,,
MDF,3,REACH,REACh regulation No 1907/2006/EC,Evaluation Procedures,Supplier must informed the way this topic has been confirmed,Yes,yes,manual entry by supplier,Dropdown,NART or NART Group,Presumption (without evidence) / Supplier declaration / Material declaration /  Laboratory analysis / Supplier declaration and material declaration / Supplier declaration and laboratory analysis / Material declaration and laboratory ananlysis,Keep information as requried in Report & Create PDF based in MDF formular from supplier.,,,
MDF,3,REACH,REACh regulation No 1907/2006/EC,"Annex XVII plus amendments (current revision)
Applies to all purchased products and packaging.",Legislative statement from supplier,Yes,yes,manual entry by supplier,Dropdown,NART or NART Group,Complaint / Not Compliant,Keep information as requried in Report & Create PDF based in MDF formular from supplier.,,,Mandatory
MDF,3,REACH,REACh regulation No 1907/2006/EC,Declaration of comformidity,Comments from supplier,Yes,yes,manual entry by supplier,Freetext,NART or NART Group,Free text field from supplier,Keep information as requried in Report & Create PDF based in MDF formular from supplier.,,,
MDF,3,REACH,REACh regulation No 1907/2006/EC,Evaluation Procedures,Supplier must informed the way this topic has been confirmed,Yes,yes,manual entry by supplier,Dropdown,NART or NART Group,Presumption (without evidence) / Supplier declaration / Material declaration /  Laboratory analysis / Supplier declaration and material declaration / Supplier declaration and laboratory analysis / Material declaration and laboratory ananlysis,Keep information as requried in Report & Create PDF based in MDF formular from supplier.,,,
MDF,4,Legislations,Chemicals prohibition ordinance ChemVerbotsV,Applies to all purchased products and packaging.,Legislative statement from supplier,Yes,yes,manual entry by supplier,Dropdown,NART or NART Group,Complaint / Not Compliant,Keep information as requried in Report & Create PDF based in MDF formular from supplier.,,,Mandatory
MDF,4,Legislations,Chemicals prohibition ordinance ChemVerbotsV,Declaration of comformidity,Comments from supplier,Yes,yes,manual entry by supplier,Freetext,NART or NART Group,Free text field from supplier,Keep information as requried in Report & Create PDF based in MDF formular from supplier.,,,
