Row ID,Supplier ID,Supplier Name,Country,NART,Use case,Module (ID),Category,Section,Field (label),Field Type,Required @ go-live,Editable by supplier,Value submitted,Submission date,Status,Workflow status,Last contact date
R000012,1000662,Kraton Chemical LLC,Poland,14129-90001-00,MDF,3,REACH,REACh regulation No 1907/2006/EC,"Annex XIV plus amendments (current revision)
Applies to all purchased products and packaging.",Dropdown,Yes,yes,,2026-08-22,Missing,Open,2026-08-22
R000016,1000662,Kraton Chemical LLC,Poland,14129-90001-00,MDF,3,REACH,REACh regulation No 1907/2006/EC,Declaration of comformidity,Freetext,Yes,yes,123,2026-08-10,Flagged (needs supplier confirmation),Open,2026-08-10
R000017,1000662,Kraton Chemical LLC,Poland,14129-90001-00,MDF,3,REACH,REACh regulation No 1907/2006/EC,Evaluation Procedures,Dropdown,Yes,yes,"Yes, compliant.",2026-08-04,Flagged (needs supplier confirmation),Open,2026-08-04
R000018,1000662,Kraton Chemical LLC,Poland,14129-90001-00,MDF,4,Legislations,Chemicals prohibition ordinance ChemVerbotsV,Applies to all purchased products and packaging.,Dropdown,Yes,yes,Unknown / not specified,2026-09-01,Flagged (needs supplier confirmation),Open,2026-09-01
R000019,1000662,Kraton Chemical LLC,Poland,14129-90001-00,MDF,4,Legislations,Chemicals prohibition ordinance ChemVerbotsV,Declaration of comformidity,Freetext,Yes,yes,Unknown / not specified,2026-07-26,Flagged (needs supplier confirmation),Open,2026-07-26
R000020,1000662,Kraton Chemical LLC,Poland,14129-90001-00,MDF,4,Legislations,Chemicals prohibition ordinance ChemVerbotsV,Evaluation Procedures,Dropdown,Yes,yes,pending,2026-07-27,Flagged (needs supplier confirmation),Open,2026-07-27
R000021,1000662,Kraton Chemical LLC,Poland,14129-90001-00,MDF,5,Legislations,POP regulation No 2019/1021/EC,Applies to all purchased products and packaging.,Dropdown,Yes,yes,Complaint,2026-08-06,Outdated,Open,2026-08-06
R000022,1000662,Kraton Chemical LLC,Poland,14129-90001-00,MDF,5,Legislations,POP regulation No 2019/1021/EC,Declaration of comformidity,Freetext,Yes,yes,123,2026-07-15,Flagged (needs supplier confirmation),Open,2026-07-15
R000025,1000662,Kraton Chemical LLC,Poland,14129-90001-00,MDF,6,Legislations,PFOS/PFOA Directive 2006/122/EU,Declaration of comformidity,Freetext,Yes,yes,pending,2026-08-28,Flagged (needs supplier confirmation),Open,2026-08-28
R000026,1000662,Kraton Chemical LLC,Poland,14129-90001-00,MDF,6,Legislations,PFOS/PFOA Directive 2006/122/EU,Evaluation Procedures,Dropdown,Yes,yes,Unknown / not specified,2026-08-10,Flagged (needs supplier confirmation),Open,2026-08-10
R000030,1000662,Kraton Chemical LLC,Poland,14129-90001-00,MDF,8,Legislations,RoHS directive 2011/65/EC incl. amendments,Applies to all purchased products,Dropdown,Yes,yes,TBD,2026-07-22,Flagged (needs supplier confirmation),Open,2026-07-22
